,name,basetime,fctime,diag,obs,mb000
TTE-VDG-2021121000-1-2021121200-096,VDG-2021121000-1,2021121200,96,tte,0.0,69.35687419099911
MSLP_MIN_P-VDG-2021121000-1-2021121200-096,VDG-2021121000-1,2021121200,96,mslp_min_p,97649.19342222222,212.66933333333873
FF10M_MAX_S4-VDG-2021121000-1-2021121200-096,VDG-2021121000-1,2021121200,96,ff10m_max_s4,13.938830166133673,1.2802496263295229
FF925_MAX_S4-VDG-2021121000-1-2021121200-096,VDG-2021121000-1,2021121200,96,ff925_max_s4,16.957245134743975,1.5722212707114416
FF300_MAX_S4-VDG-2021121000-1-2021121200-096,VDG-2021121000-1,2021121200,96,ff300_max_s4,14.84805110856214,-1.2596997122427211
Z500_P-VDG-2021121000-1-2021121200-096,VDG-2021121000-1,2021121200,96,z500_p,50201.26766485645,-467.8549996288566
TTE-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,tte,0.0,42.545529788652786
MSLP_MIN_P-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,mslp_min_p,97710.32313651899,72.4407599997794
FF10M_MAX_S4-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,ff10m_max_s4,19.539980323558847,0.15193842959439507
FF925_MAX_S4-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,ff925_max_s4,25.922325507827495,-0.7368086967903267
FF300_MAX_S4-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,ff300_max_s4,13.810558371136027,2.7941359932485295
Z500_P-VDG-2021121000-1-2021121300-000,VDG-2021121000-1,2021121300,0,z500_p,49002.79213558473,-311.4813643133093
TTE-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,tte,0.0,77.07227714938566
MSLP_MIN_P-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,mslp_min_p,97496.96279565494,122.51674932139576
FF10M_MAX_S4-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,ff10m_max_s4,19.33089691884171,-0.5702172350112384
FF925_MAX_S4-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,ff925_max_s4,25.245270668205553,-1.8399043442393257
FF300_MAX_S4-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,ff300_max_s4,19.435608316971614,-1.4521088947307312
Z500_P-VDG-2021121000-1-2021121300-006,VDG-2021121000-1,2021121300,6,z500_p,48853.83423230129,-317.6316111775013
TTE-VDG-2021121000-1-2021121300-012,VDG-2021121000-1,2021121300,12,tte,0.0,128.36456039856697
